SONG,Youtube Views 19 April,SoundCloud Plays 19 April,Instagram Followers 19 April,Facebook,Youtube Views 29 April,SoundCloud Plays 29 April,Instagram Followers 29 April,Facebook 29 April,Marathi Dropped 1st May,Marathi Redropped 7th May (Ban started)
Apprateem,54,329,,,50,335,,,,
Vibe,57,78,,,65,103,,,,
Jinkto,191,54,,,210,63,,,,
Zarka,55,336,,,63,343,,,,
Subcribers/Followers,11,32,455,-,12,32,458,1037,,
SONG,Youtube Views 8 May,SoundCloud Plays 8 May,Instagram Followers 8 May,Facebook 8 May,Youtube Views 14 May,SoundCloud Plays 14 May,Instagram Followers 14 May,Facebook 14 May - Ban lifted ,,
Apprateem,87,352,,,94,366,,,,
Vibe,103,137,,,107,151,,,,
Jinkto,274,92,,,283,106,,,,
Zarka,89,363,,,93,388,,,,
Marathi,-,-,,,171,46,,,,
Subcribers/Followers,24,33,449,3226,24,33,450,5463,,
SONG,Youtube Views 17 AUG,SoundCloud Plays 17 AUG,Instagram Followers 17 AUG,Facebook 17 AUG,Youtube Views 20 SEP,SoundCloud Plays 20 SEP,Instagram Followers 20 SEP,Facebook 20 SEP,,
Apprateem,139,470,,,150,487,,,,
Vibe,157,429,,,175,460,,,,
Jinkto,359,262,,,381,301,,,,
Zarka,144,509,,,156,526,,,,
Marathi,551,255,,,606,497,,,,
Fort$,89,86,,,116,141,,,,
Kaay Hotay,28,4,,,53,81,,,,
"70,00,000",-,-,,,81,74,,,,
Subcribers/Followers,32,39,451,"11,362",36,41,441,11426,,
SONG,Youtube Views 2 Nov,SoundCloud Plays 2 Nov,Instagram Followers 2 Nov,Facebook 2 Nov,Youtube Views 2 Dec,SoundCloud Plays 2 Dec,Spotify- Stream/Listeners/Saves 2 Dec,Insta/FB Followers 2 Dec,,
Apprateem,167,516,,,181,570,-,,,
Vibe,191,492,,,200,509,-,,,
Jinkto,400,331,,,404,352,-,,,
Zarka,171,556,,,174,570,-,,,
Marathi,665,558,,,691,588,-,,,
Fort$,131,172,,,134,180,-,,,
Kaay Hotay,71,106,,,74,118,48/17/5,,,
"70,00,000",132,118,,,142,124,135/38/7,,,
Kaam,60,46,,,72,56,76/19/6,,,
Virat Kohli,11,2,,,78,21,22/18/7,,,
Studio Sainik,-,-,,,8,2,-,,,
Subcribers/Followers,37,47,449,"11,768",39,43,19,"459/11,833",,
SONG,Youtube Views 2 Jan 18,SoundCloud Plays 2 Jan 18,Spotify- Stream/Listeners/Saves 2 Jan 18,Insta/FB Followers 2 Jan 18,Youtube Views 2 Feb 18,SoundCloud Plays 2 Feb 18,Spotify- Stream/Listeners/Saves 2 Feb 18,Insta/FB Followers 2 Feb 18,,
Apprateem,184,549,-,,187,553,-,,,
Vibe,206,537,"10,3,2",,208,543,17/5/2,,,
Jinkto,417,374,-,,417,381,-,,,
Zarka,176,589,-,,178,592,-,,,
Marathi,727,613,4/3/2001,,743,622,13/5/2,,,
Fort$,141,192,-,,145,194,-,,,
Kaay Hotay,78,128,68/19/6,,78,133,76/20/6,,,
"70,00,000",153,133,157/38/8,,160,136,174/41/8,,,
Kaam,77,74,100/23/7,,77,74,108/24/7,,,
Virat Kohli,97,55,48/27/9,,122,61,61/30/9,,,
Studio Sainik,35,48,16/5/3,,39,57,40/8/4,,,
100,13,4,14/3/3,,43,15,70/10/5,,,
Subcribers/Followers,42,43,19,"450/11,825",44,43,21,"451/11,858",,
SONG,Youtube Views 2 March 18,SoundCloud Plays 2 March 18,Spotify- Stream/Listeners/Saves 2 March 18,Insta/FB Followers 2 March 18,Youtube Views 2 April 18,SoundCloud Plays 2 April 18,Spotify- Stream/Listeners/Saves 2 April 18,Insta/FB Followers 2 April 18,,
Apprateem,193,563,-,,205,570,-,,,
Vibe,215,553,25/9/4,,234,560,26/10/4,,,
Jinkto,423,389,-,,431,406,-,,,
Zarka,181,602,-,,183,606,-,,,
Marathi,758,637,20/8/4,,779,658,24/9/4,,,
Fort$,148,198,-,,151,205,-,,,
Kaay Hotay,81,138,28/20/7,,84,140,84/23/8,,,
"70,00,000",166,140,179/41/9,,173,146,183/41/9,,,
Kaam,88,79,113/25/9,,90,85,118/26/9,,,
Virat Kohli,132,70,70/33/11,,138,77,78/39/11,,,
Studio Sainik,44,69,47/9/5,,46,77,53/10/5,,,
100,56,26,76/11/6,,63,40,99/16/6,,,
YA$,31,21,-,,37,34,9/5/2003,,,
Eagleye,-,-,-,,26,18,16/5/1,,,
Subcribers/Followers,47,44,22,"460/13,849",47,44,22,"447/14,026",,
SONG,Youtube Views 2 May 18,SoundCloud Plays 2 May 18,Spotify- Stream/Listeners/Saves 2 May 18,Insta/FB Followers 2 May 18,Youtube Views 2 June 18,SoundCloud Plays 2 June 18,Spotify- Stream/Listeners/Saves 2 June 18,Insta/FB Followers 2 June 18,,
Apprateem,207,579,-,,209,581,-,,,
Vibe,242,568,27/10/5,,247,578,31/11/6,,,
Jinkto,435,417,-,,447,423,-,,,
Zarka,183,613,-,,186,618,-,,,
Marathi,801,672,43/13/6,,838,687,58/15/7,,,
Fort$,158,215,-,,162,225,-,,,
Kaay Hotay,85,142,89/23/9,,86,144,91/23/10,,,
"70,00,000",177,149,184/41/10,,179,151,186/41/11,,,
Kaam,92,90,120/26/10,,94,93,124/26/11,,,
Virat Kohli,144,86,113/43/16,,154,93,169/54/20,,,
Studio Sainik,61,88,54/10/6,,67,93,55/10/6,,,
100,69,42,109/20/7,,70,43,120/23/8,,,
YA$,49,41,16/7/4,,52,48,20/8/4,,,
Eagleye,41,25,18/6/3,,48,32,21/7/4,,,
Jinkto - The Remake,23,11,-,,45,20,6/3/2002,,,
Marathi Vol. II,6,1,-,,35,16,22/2/1,,,
Subcribers/Followers,47,44,23,"444/13,790",52,44,23,"433/14,171",,
SONG,Youtube Views 2 July 18,SoundCloud Plays 2 July 18,Spotify- Stream/Listeners/Saves 2 July 18,Insta/FB Followers 2 July 18,Youtube Views 2 Nov 18,SoundCloud Plays 2 Nov 18,Spotify- Stream/Listeners/Saves 2 Nov 18,Insta/FB Followers 2 Nov 18,,
Apprateem,209,584,-,,225,600,-,,,
Vibe,248,590,32/11/6,,257,618,37/14/5,,,
Jinkto,451,431,-,,469,467,11/5/2002,,,
Zarka,186,621,-,,193,641,-,,,
Marathi,847,696,62/16/7,,920,765,74/25/7,,,
Fort$,164,227,-,,176,232,-,,,
Kaay Hotay,89,144,93/24/10,,99,146,163/29/11,,,
"70,00,000",185,152,188/42/11,,196,157,213/46/10,,,
Kaam,94,94,127/27/11,,98,100,159/31/10,,,
Virat Kohli,155,95,184/61/21,,190,101,319/93/35,,,
Studio Sainik,69,93,56/10/6,,75,95,65/12/6,,,
100,70,45,125/25/8,,82,48,158/34/8,,,
YA$,54,48,24/9/4,,62,54,27/10/3,,,
Eagleye,52,33,21/7/4,,60,36,24/10/4,,,
Jinkto - The Remake,47,24,7/3/2,,56,26,11/5/2,,,
Marathi Vol. II,41,21,23/3/1,,51,33,27/6/1,,,
Fort$ - The Tribute,19,12,21/2/2,,33,18,38/9/3,,,
$tudio Night$,-,-,-,,46,22,-,,,
Apprateem Vol. II,-,-,-,,52,-,-,,,
Subcribers/Followers,54,45,24,"430/14,198",58,47,24,"415/13,943",,
Pre-Album Drop - 28 Nov 18,,,,,Post-Album Drop - 2 Feb 19,,,,,
,,,,,,,,,,
SONG,Youtube Views,SoundCloud Plays,Spotify- Stream/Listeners/Saves,Insta/FB Followers,Youtube Views,SoundCloud Plays,Spotify- Stream/Listeners/Saves,Apple Music,Insta/FB Followers,
Apprateem,230,602,-,,237,605,-,-,,
Vibe,257,619,38/15/5,,274,627,49/19/5,13,,
Jinkto,470,468,-,,483,477,-,-,,
Zarka,196,644,-,,206,651,-,-,,
Marathi,929,771,82/26/7,,1018,797,110/38/10,1120,,
Fort$,176,232,-,,182,240,-,-,,
Kaay Hotay,99,148,165/29/11,,115,161,185/40/11,31,,
"70,00,000",198,160,219/48/10,,220,171,245/56/10,158,,
Kaam,98,106,161/31/10,,108,117,187/42/10,42,,
Virat Kohli,203,107,348/99/35,,238,120,461/129/41,201,,
Studio Sainik,75,96,65/12/6,,84,107,82/16/6,12,,
100,85,53,164/35/8,,100,65,209/46/9,6,,
YA$,62,56,30/12/3,,74,66,40/15/3,7,,
Eagleye,64,36,24/10/4,,73,47,32/13/4,8,,
Jinkto - The Remake,59,27,14/6/2,,70,43,29/11/2,1,,
Marathi Vol. II,56,37,31/9/1,,72,49,41/13/1,10,,
Fort$ - The Tribute,36,21,38/9/3,,42,30,47/15/4,2,,
$tudio Night$,52,30,-,,75,42,16/9/3,1,,
Apprateem Vol. II,62,5,-,,89,16,9/4/2003,1,,
Chai Kaffy - Full EP,-,-,-,,338,-,-,-,,
330,-,-,-,,96,12,272/23/7,7,,
Mavle Dada,-,-,-,,118,7,0149/12/3,3,,
No Q,-,-,-,,58,8,0148/10/5,1,,
Dirt Gang,-,-,-,,114,10,0143/11/2,7,,
Rarri,-,-,-,,65,5,0139/11/3,4,,
Subcribers/Followers,58,50,23,"413/13,999",73,49,30,1635,"468/13,969",
SONG,Youtube Views - 2 Mar,SoundCloud Plays - 2 Mar,Spotify- Stream/Listeners/Saves - 2 Mar,Apple Music - 2 Mar,Insta/FB Followers - 2 Mar,Youtube Views - 2 Apr,SoundCloud Plays - 2 Apr,Spotify- Stream/Listeners/Saves - 2 Apr,Apple Music - 2 Apr,Insta/FB Followers - 2 Mar
Apprateem,245,607,-,-,,249,607,-,-,
Vibe,283,630,60/23/6,14,,287,632,84/28/7,15,
Jinkto,491,478,-,-,,493,479,-,-,
Zarka,209,607,-,-,,211,656,-,-,
Marathi,1k,809,158/73/15,1234,,1k,816,215/110/17,1324,
Fort$,185,240,-,-,,190,242,-,-,
Kaay Hotay,119,161,201/47/12,31,,120,162,238/59/13,31,
"70,00,000",224,171,263/69/10,158,,230,171,303/92/13,159,
Kaam,113,117,216/56/12,43,,114,119,252/70/12,43,
Virat Kohli,247,120,507/141/44,206,,254,122,561/164/42,212,
Studio Sainik,88,107,91/20/7,12,,93,107,121/25/7,12,
100,103,65,218/48/9,6,,103,66,238/52/10,10,
YA$,80,66,43/18/3,10,,83,67,59/20/4,10,
Eagleye,80,47,36/17/5,8,,82,48,53/21/6,8,
Jinkto - The Remake,72,43,35/14/2,1,,72,44,58/23/3,1,
Marathi Vol. II,76,49,46/18/1,10,,81,50,63/28/1,10,
Fort$ - The Tribute,42,31,49/17/4,2,,43,31,59/19/6,2,
$tudio Night$,86,43,20/10/3,2,,96,45,37/13/4,-,
Apprateem Vol. II,96,17,14/7/3,1,,100,22,39/13/6,-,
Chai Kaffy - Full EP,344,-,-,-,,349,-,-,-,
330,109,17,316/30/9,7,,114,44,372/42/11,11,
Mavle Dada,121,7,180/17/4,3,,125,11,217/27/5,9,
No Q,66,13,178/15/6,1,,69,18,206/17/7,1,
Dirt Gang,118,11,173/15/4,8,,120,15,205/22/5,27,
Rarri,71,5,164/15/4,5,,71,9,191/21/5,5,
Subcribers/Followers,77,49,33,-,"481/13,933",77,50,34,-,"565/13,891"
SONG,Youtube Views - 2 May,SoundCloud Plays - 2 May,Spotify- Stream/Listeners/Saves - 2 May,Apple Music - 2 May,Insta/FB Followers - 2 May,Youtube Views - 2 June,SoundCloud Plays - 2 June,Spotify- Stream/Listeners/Saves - 2 June,Apple Music - 2 June,Insta/FB Followers - 2 June
Apprateem,253,607,-,-,,257,608,-,-,
Vibe,289,633,98/35/7,17,,295,633,130/46/12,19,
Jinkto,497,481,-,-,,502,482,-,-,
Zarka,212,656,-,-,,216,656,-,-,
Marathi,1k,820,254/132/19,1423,,1.1k,831,299/150/21,1539,
Fort$,191,242,-,-,,193,243,-,-,
Kaay Hotay,121,162,262/70/15,32,,125,162,314/88/16,33,
"70,00,000",232,172,342/115/17,165,,239,172,399/140/20,166,
Kaam,114,119,303/98/14,46,,121,119,370/127/20,47,
Virat Kohli,262,122,615/187/49,214,,274,123,700/215/58,220,
Studio Sainik,100,108,146/33/10,12,,103,108,175/45/11,12,
100,103,66,251/58/9,12,,108,66,273/65/11,12,
YA$,83,67,67/22/4,11,,85,67,87/30/6,11,
Eagleye,82,48,61/25/6,8,,84,48,79/34/10,10,
Jinkto - The Remake,73,45,64/26/3,1,,80,46,86/29/6,1,
Marathi Vol. II,82,50,77/36/2,12,,85,51,98/48/5,16,
Fort$ - The Tribute,45,31,65/19/6,3,,55,33,80/20/7,3,
$tudio Night$,100,45,47/17/4,-,,129,46,62/19/5,-,
Apprateem Vol. II,102,22,50/15/6,2,,113,27,78/19/10,2,
Chai Kaffy - Full EP,352,-,-,-,,365,-,-,-,
330,117,55,407/49/14,26,,137,61,594/151/25,29,
Mavle Dada,131,15,233/32/7,9,,137,19,262/42/9,9,
No Q,70,19,216/21/10,1,,80,25,240/25/11,1,
Dirt Gang,125,18,216/28/7,31,,133,22,240/33/8,32,
Rarri,72,9,204/30/5,8,,98,10,222/37/9,10,
Mavle Anthem,-,79,180/36/8,19,,669,163,242/56/13,21,
Subcribers/Followers,77,51,36,-,"575/13,874",105,51,42,-,"580/13,851"
SONG,Youtube Views - 2 Jul,SoundCloud Plays - 2 Jul,Spotify- Stream/Listeners/Saves - 2 Jul,Apple Music - 2 Jul,Insta/FB Followers - 2 Jul,Youtube Views - 2 AUG,SoundCloud Plays - 2 AUG,Spotify- Stream/Listeners/Saves - 2 AUG,Apple Music - 2 AUG,Insta/FB Followers - 2 AUG
Apprateem,263,610,-,-,,272,610,-,-,
Vibe,303,636,168/54/12,19,,305,637,201/68/16,19,
Jinkto,521,482,-,-,,528,484,-,-,
Zarka,229,663,-,-,,305,663,-,-,
Marathi,1.1k,849,357/171/24,1621,,1.2k,866,495/245/34,1695,
Fort$,196,244,-,-,,196,245,-,-,
Kaay Hotay,162,165,374/106/17,33,,248,166,429/138/19,33,
"70,00,000",265,175,496/179/21,167,,308,176,604/253/28,170,
Kaam,149,119,443/155/22,48,,156,120,523/207/30,50,
Virat Kohli,353,129,954/254/64,238,,398,135,1.1k/318/71,262,
Studio Sainik,117,116,221/61/11,12,,173,117,263/76/14,12,
100,115,71,306/72/13,12,,119,72,328/79/16,12,
YA$,92,70,111/34/6,11,,98,71,127/37/6,11,
Eagleye,91,53,103/40/10,10,,117,54,124/46/11,10,
Jinkto - The Remake,98,47,118/37/7,1,,109,49,146/45/9,1,
Marathi Vol. II,103,52,125/55/6,16,,109,54,155/69/9,16,
Fort$ - The Tribute,67,35,104/24/7,3,,129,37,120/26/7,3,
$tudio Night$,143,50,101/25/5,2,,147,50,132/28/6,2,
Apprateem Vol. II,126,29,115/27/10,2,,136,31,168/32/12,2,
Chai Kaffy - Full EP,385,-,-,-,,396,-,-,-,
330,274,70,667/171/25,43,,402,77,742/188/26,43,
Mavle Dada,154,23,291/49/9,9,,157,26,317/58/9,9,
No Q,101,33,271/31/11,1,,215,37,289/35/13,1,
Dirt Gang,178,27,281/39/9,32,,246,31,314/46/11,32,
Rarri,202,11,253/43/9,10,,243,15,272/53/11,10,
Mavle Anthem,2224,232,375/76/18,43,,2.8k,266,477/104/22,55,
Zarka - The Trap,-,-,-,-,,127,24,-,-,
Subcribers/Followers,130,54,765listeners/45followers,-,609/13830,135,54,993listeners/45followers,,601/13796
SONG,Youtube Views - 2 Sep,SoundCloud Plays - 2 Sep,Spotify- Stream/Listeners/Saves - 2 Sep,Apple Music - 2 Sep,Insta/FB Followers - 2 Sep,Youtube Views - 2 Oct,SoundCloud Plays - 2 Oct,Spotify- Stream/Listeners/Saves - 2 Oct,Apple Music - 2 Oct,Insta/FB Followers - 2 Oct
Apprateem,289,611,-,-,,296,611,-,-,
Vibe,307,639,225/88/17,18,,309,642,257/108/16,18,
Jinkto,530,487,-,-,,535,490,-,-,
Zarka,400,663,-,-,,407,667,-,-,
Marathi,1.2k,881,567/292/38,1723,,1.3k,893,705/349/43,1819,
Fort$,196,245,-,-,,196,245,-,-,
Kaay Hotay,316,166,469/172/20,34,,356,166,530/215/24,38,
"70,00,000",331,177,687/324/30,140,,352,178,835/431/38,142,
Kaam,164,121,582/256/32,54,,167,121,706/328/37,62,
Virat Kohli,420,135,1.2k/382/76,260,,428,143,1.3k/450/82,275,
Studio Sainik,202,117,288/97/14,14,,216,117,330/125/14,15,
100,121,72,357/95/16,11,,121,72,398/118/16,12,
YA$,113,71,137/42/6,10,,114,71,158/54/7,10,
Eagleye,143,54,136/54/11,9,,159,60,158/68/11,10,
Jinkto - The Remake,137,49,157/52/9,1,,151,49,183/66/10,1,
Marathi Vol. II,111,55,175/82/9,17,,117,55,204/101/11,18,
Fort$ - The Tribute,172,38,125/27/7,3,,196,38,155/38/10,3,
$tudio Night$,156,51,143/38/6,2,,161,51,161/49/7,2,
Apprateem Vol. II,138,31,186/39/13,2,,146,31,207/51/14,2,
Chai Kaffy - Full EP,397,-,-,-,,399,-,-,-,
330,475,78,776/198/29,30,,517,78,811/207/32,32,
Mavle Dada,158,27,329/67/9,8,,166,27,351/79/11,8,
No Q,223,37,301/45/13,3,,260,38,318/56/14,3,
Dirt Gang,282,33,327/55/11,30,,314,33,346/65/13,30,
Rarri,312,15,285/61/11,11,,329,16,298/71/12,11,
Mavle Anthem,3.2k,281,528/118/23,43,,3.5k,308,575/133/25,49,
Zarka - The Trap,135,34,6/4/2001,0,,152,39,23/16/3,1,
Sacred Games,153,70,1.1k/871/53,491,,288,146,3k/2.1k/130,1115,
Subcribers/Followers,137,55,2klisteners/47followers,-,600/13763,137,55,3.5klisteners/50followers,-,684/13730
SONG,Youtube Views - 2 Nov,SoundCloud Plays - 2 Nov,Spotify- Stream/Listeners/Saves - 2 Nov,Apple Music - 2 Nov,Insta/FB Followers - 2 Nov,Youtube Views - 2 Dec,SoundCloud Plays - 2 Dec,Spotify- Stream/Listeners/Saves - 2 Dec,Apple Music - 2 DEc,Insta/FB Followers - 2 Dec
Apprateem,363,612,-,-,,439,613,-,-,
Vibe,314,644,284/127/24,19,,331,645,319/159/24,19,
Jinkto,539,493,-,-,,540,497,-,-,
Zarka,474,668,-,-,,519,672,-,-,
Marathi,1.3k,901,786/403/55,1953,,1.4k,908,882/468/59,2049,
Fort$,196,246,-,-,,196,246,-,-,
Kaay Hotay,447,166,592/253/35,40,,545,167,638/281/34,43,
"70,00,000",475,178,940/508/50,143,,512,180,1k/557/54,144,
Kaam,171,121,789/378/45,66,,172,121,862/424/46,68,
Virat Kohli,466,144,1.4k/510/93,285,,481,146,1.5k/543/98,319,
Studio Sainik,251,120,378/158/20,15,,325,121,414/173/20,15,
100,123,72,419/133/25,12,,124,72,441/145/25,13,
YA$,118,71,183/70/15,12,,119,73,204/86/15,12,
Eagleye,191,73,180/82/18,10,,192,84,200/95/18,10,
Jinkto - The Remake,200,50,202/77/19,1,,221,52,231/97/19,3,
Marathi Vol. II,122,57,245/129/17,22,,122,58,299/161/18,23,
Fort$ - The Tribute,199,39,189/52/18,3,,199,39,206/60/18,3,
$tudio Night$,170,51,181/58/14,2,,180,52,205/70/14,2,
Apprateem Vol. II,149,32,239/64/20,2,,154,34,291/80/20,2,
Chai Kaffy - Full EP,401,-,-,-,,401,-,-,-,
330,590,79,838/213/36,35,,732,79,868/217/37,35,
Mavle Dada,171,29,386/101/22,9,,171,29,412/116/25,9,
No Q,293,40,339/67/21,3,,302,42,371/83/22,3,
Dirt Gang,376,34,362/73/17,30,,440,35,372/75/17,30,
Rarri,409,16,309/74/15,17,,475,16,315/77/15,17,
Mavle Anthem,3.7k,321,619/148/33,53,,3.8k,326,664/169/34,54,
Zarka - The Trap,158,40,46/29/10,1,,158,42,73/43/10,1,
Sacred Games,514,160,4.5k/3/1k/197,1359,,657,179,5.5k/3.8k/221,1587,
Subcribers/Followers,139,55,4.6klisteners/52followers,-,696/13703,140,56,5.4klisteners/53followers,-,700/13687
SONG,Youtube Views - 2 Jan,SoundCloud Plays - 2 Jan,Spotify- Stream/Listeners/Saves - 2 Jan,Apple Music - 2 Jan,Insta/FB Followers - 2 Jan,Youtube Views - 2 Feb,SoundCloud Plays - 2 Feb,Spotify- Stream/Listeners/Saves - 2 Feb,Apple Music - 2 Feb,Insta/FB Followers - 2 Feb
Apprateem,477,615,-,-,,494,615,-,-,
Vibe,339,648,382/171/29,19,,343,649,406/181/30,19,
Jinkto,543,498,-,-,,544,498,-,-,
Zarka,526,674,-,-,,526,674,-,-,
Marathi,1.5k,913,1.3k/721/94,2183,,1.6k,914,1.5k/823/101,2247,
Fort$,196,247,-,-,,198,247,-,-,
Kaay Hotay,664,168,736/314/38,44,,764,168,788/331/40,45,
"70,00,000",570,181,1.3k/702/81,148,,693,181,1.4k/782/88,148,
Kaam,174,124,1.2k/604/64,71,,176,124,1.3k/671/72,72,
Virat Kohli,505,151,1.7k/598/112,351,,532,152,1.7k/639/111,358,
Studio Sainik,385,124,478/191/25,15,,446,124,520/201/26,15,
100,125,73,487/159/30,13,,126,73,519/166/31,13,
YA$,123,74,245/103/19,12,,124,74,260/110/20,12,
Eagleye,197,88,227/103/19,10,,200,88,238/107/22,10,
Jinkto - The Remake,242,65,278/113/25,4,,242,65,315/124/26,4,
Marathi Vol. II,124,59,377/194/27,23,,124,60,433/217/31,23,
Fort$ - The Tribute,203,40,256/74/22,3,,221,40,287/78/23,3,
$tudio Night$,195,65,235/80/16,2,,199,65,252/84/17,2,
Apprateem Vol. II,157,48,382/102/25,2,,159,48,414/111/25,2,
Chai Kaffy - Full EP,402,-,-,-,,-,-,-,-,
330,816,81,933/226/40,37,,941,81,974/233/40,37,
Mavle Dada,177,30,437/126/29,10,,177,30,450/132/31,10,
No Q,325,43,415/94/27,4,,331,43,440/101/27,4,
Dirt Gang,566,36,424/79/20,30,,640,37,453/79/20,30,
Rarri,563,17,349/80/18,18,,604,17,355/80/18,18,
Mavle Anthem,4k,354,777/202/40,58,,4k,356,827/216/40,79,
Zarka - The Trap,176,69,108/54/13,1,,188,69,125/61/13,3,
Sacred Games,794,231,7.9k/5.4k/338,1771,,864,245,8.9k/6k/391,1824,
Grind,-,-,-,-,-,43,1,431/75/15,15,
Subcribers/Followers,144,55,56,-,"698/13,661",142,55,8.1klisteners/57followers,-,696/13641